Movie_Title,Release_Date,Wikipedia_URL,Genre_1,Genre_2,Director_1,Director_2,Cast_1,Cast_2,Cast_3,Cast_4,Cast_5,Budget,Box_Office_Revenue
The Sweet Escape,2015-06-10,https://en.wikipedia.org/wiki/The_Sweet_Escape_(film),Comedy,,Bruno Podalydès,,Bruno Podalydès,Sandrine Kiberlain,Agnès Jaoui,Vimala Pons,,3800000,3300000
The Theory of Everything,2014-09-07,https://en.wikipedia.org/wiki/The_Theory_of_Everything_(2014_film),Biography,Drama,James Marsh,,Eddie Redmayne,Felicity Jones,,,,15000000,123700000
The Three Stooges,2012-04-13,https://en.wikipedia.org/wiki/The_Three_Stooges_(film),Comedy,,Bobby Farrelly,Peter Farrelly,Chris Diamantopoulos,Sean Hayes,Will Sasso,Jane Lynch,Larry David,30000000,54800000
The Transporter Refueled,2015-09-04,https://en.wikipedia.org/wiki/The_Transporter_Refueled,Action,Thriller,Camille Delamarre,,Ed Skrein,Ray Stevenson,Loan Chabanol,Gabriella Wright,,25000000,72600000
The Twilight Saga: Breaking Dawn – Part 2,2012-11-16,https://en.wikipedia.org/wiki/The_Twilight_Saga:_Breaking_Dawn_%25E2%2580%2593_Part_2,Fantasy,Drama,Bill Condon,,Kristen Stewart,Robert Pattinson,Michael Sheen,Mackenzie Foy,Billy Burke,120000000,829700000
The Vatican Tapes,2015-07-25,https://en.wikipedia.org/wiki/The_Vatican_Tapes,Horror,,Mark Neveldine,,Kathleen Robertson,Michael Peña,Djimon Hounsou,Dougray Scott,John Patrick Amedori,13000000,13500000
The Visit,2015-09-08,https://en.wikipedia.org/wiki/The_Visit_(2015_American_film),Horror,Thriller,M. Night Shyamalan,,Kathryn Hahn,Ed Oxenbould,Deanna Dunagan,Peter McRobbie,Olivia DeJonge,5000000,98500000
The Walk,2015-09-30,https://en.wikipedia.org/wiki/The_Walk_(2015_film),Biography,,Robert Zemeckis,,Joseph Gordon-Levitt,Ben Kingsley,James Badge Dale,Charlotte Le Bon,,45000000,61200000
The Watch,2012-07-27,https://en.wikipedia.org/wiki/The_Watch_(2012_film),Comedy,,Akiva Schaffer,,Ben Stiller,Vince Vaughn,Rosemarie DeWitt,Jonah Hill,Richard Ayoade,68000000,68300000
The Water Diviner,2014-12-26,https://en.wikipedia.org/wiki/The_Water_Diviner,Drama,,Russell Crowe,,Cem Yılmaz,Miyavi,Yılmaz Erdoğan,,,22500000,30800000
"The Way, Way Back",2013-07-05,"https://en.wikipedia.org/wiki/The_Way,_Way_Back",Comedy,Drama,Nat Faxon,Jim Rash,Steve Carell,Toni Collette,Allison Janney,AnnaSophia Robb,Sam Rockwell,5000000,5000000
The Wedding Ringer,2015-01-16,https://en.wikipedia.org/wiki/The_Wedding_Ringer,Romance,Comedy,Jeremy Garelick,,Kevin Hart,Josh Gad,Kaley Cuoco,Olivia Thirlby,Alan Ritchson,23000000,79800000
The Witch,2016-01-27,https://en.wikipedia.org/wiki/The_Witch_(2015_film),Horror,,Robert Eggers,,Anya Taylor-Joy,Ralph Ineson,Kate Dickie,,,3000000,40400000
The Wolverine,2013-07-24,https://en.wikipedia.org/wiki/The_Wolverine_(film),Action,Adventure,James Mangold,,Hugh Jackman,Famke Janssen,Hiroyuki Sanada,Hal Yamanouchi,Tao Okamoto,120000000,414800000
The Woman in Black,2012-02-03,https://en.wikipedia.org/wiki/The_Woman_in_Black_(2012_film),Horror,Thriller,James Watkins,,Daniel Radcliffe,Ciarán Hinds,Janet McTeer,Liz White,Alisa Khazanova,15000000,128500000
The Woman in Black: Angel of Death,2014-12-30,https://en.wikipedia.org/wiki/The_Woman_in_Black:_Angel_of_Death,Horror,,Tom Harper,,Phoebe Fox,Jeremy Irvine,Helen McCrory,Adrian Rawlins,Oaklee Pendergast,15000000,48900000
The World's End,2013-07-19,https://en.wikipedia.org/wiki/The_World%2527s_End_(film),Comedy,Sci-Fi,Edgar Wright,,Simon Pegg,Nick Frost,Paddy Considine,Martin Freeman,Eddie Marsan,20000000,46100000
The Young Messiah,2016-03-11,https://en.wikipedia.org/wiki/The_Young_Messiah_(film),Drama,,Cyrus Nowrasteh,,Adam Greaves-Neal,Sean Bean,,,,18500000,7200000
Think Like a Man,2012-04-20,https://en.wikipedia.org/wiki/Think_Like_a_Man,Comedy,Romance,Tim Story,,Kevin Hart,Michael Ealy,Taraji P. Henson,Jerry Ferrara,Meagan Good,12000000,96100000
This Is the End,2013-06-12,https://en.wikipedia.org/wiki/This_Is_the_End,Comedy,Sci-Fi,Evan Goldberg,Seth Rogen,Seth Rogen,Jay Baruchel,James Franco,Craig Robinson,Danny McBride,32000000,126000000
This Is Where I Leave You,2014-09-19,https://en.wikipedia.org/wiki/This_Is_Where_I_Leave_You,Comedy,,Shawn Levy,,Jason Bateman,Tina Fey,Jane Fonda,Timothy Olyphant,Corey Stoll,19800000,41300000
This Means War,2012-02-17,https://en.wikipedia.org/wiki/This_Means_War_(film),Action,Romance,McG,,Tom Hardy,Chris Pine,Reese Witherspoon,Chelsea Handler,Til Schweiger,65000000,156500000
Top Five,2014-09-06,https://en.wikipedia.org/wiki/Top_Five,Comedy,,Chris Rock,,Chris Rock,Rosario Dawson,Genevieve Angelson,Rachel Feinstein,Dan Naturman,12000000,26100000
Top Gun 3D,2013-02-08,https://en.wikipedia.org/wiki/Top_Gun,Action,,Tony Scott,,Tom Cruise,Kelly McGillis,Val Kilmer,James Tolkan,Tom Skerritt,15000000,356800000
